Title,Authors,Year,Tags,Abstract,URL,Zotero Key
Survivor: A Narrative Therapy Appriach for Use with Sex Trafficked Women and Girls,"Karen Countryman-Roswurm, Anthony DiLollo",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/02703149.2016.1206782,ADIVXQVA
The Modern-Day White (Wo)Man’s Burden: Trends in Anti-Trafficking and Anti-Slavery Campaigns,Kamala Kempadoo,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1006120,G79HKZAV
Female juvenile prostitutes: Exploring the relationship to substance use,"Kara Marie Brawn, Dominique Roe-Sepowitz",,Social Work,,https://www.sciencedirect.com/science/article/pii/S0190740908001072,WTVDANJV
"""Even God does not want me:"" A qualitative study of health issues and access to health care among sex-trafficked women and girls in India"," Karandikar, Sharvari; Gezinski, Lindsay; Kaloga,  Marissa",,"Mental Health, Social Work",,https://www.proquest.com/openview/f64ff90c5dcc559cbe3aef6d53255ce8/1?pq-origsite=gscholar&cbl=2034853,TMGITJEE
"Systematic review of facilitators of, barriers to, and recommendations for healthcare services for child survivors of human trafficking globally","Karen Albright, Jordan Greenbaum, Sherry A. Edwards, Carmelle Tsaie",,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/pii/S014521341930465X,E2898E6X
TIP Reports as Policy and Narrative: Exploring the Communicative Framework for Policy Enactment,Julie L. Taylor & Kirsten L. Isgro,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1423446,Z5QCPTXK
Beyond Criminal Justice: A Case Study of Responding to Human Trafficking in Canada,"Julie Kaye, John Winterdyk, Lara Quarterman",,"Lived Experience, Social Work",,http://refugeeresearch.net/wp-content/uploads/2017/05/Kaye-et-al-2014-Beyond-Criminal-Justice-Responding-to-Human-Trafficking.pdf,3F2QHCZJ
Global Commercial and Sexual Exploitation of Children,"Julie Anne Laser-Maira, Charles E. Hounmenou and Donna Peach",,"Mental Health, Public Policy",,https://oxfordre.com/criminology/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-592,DZDVJZ25
"A comparative description of relationships among traffickers and victims: sex trafficking cases in the Ninth Judicial Circuit of Florida, 2016-2019",Kaila Williams & Roberto Potter,,"Lived Experience, Public Policy",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1936856,HD3AN3JN
Creating a Collaborative Trauma-Informed Interdisciplinary Citywide Victim Services Model Focused on Health Care for Survivors of Human Trafficking,"Juhi Jain, Mackenzie Bennett, Mark D. Bailey, et. al.",,"Mental Health, Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/00333549211059833,32QS3IZV
COVID-19 Pandemic’s Impact on Online Sex Advertising and Sex Trafficking,"Julia Coxen, Vanessa Castro, Bridgette Carr, Glen Bredin & Seth Guikema",,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2215362,H3WCQGNW
Human Trafficking in Adolescents: Adopting a Youth-centered Approach to Identification and Services,"Julia Einbond, Angela Diaz, Anastasia Cossette, Rosalyn Scriven, Silvia Blaustein, Martha R. Arden",,"Lived Experience, Mental Health, Social Work",,https://www.primarycare.theclinics.com/article/S0095-4543(20)30010-5/abstract,RCNU7IB8
Moving Towards Self-actualization: A Trauma-Informed and Needs-Focused Approach to the Mental Health Needs of Survivors of Commercial Child Sexual Exploitation,"Julie Ann Laser, Donna Peach & Charles Hounmenou",,"Lived Experience, Social Work",,https://www.researchgate.net/publication/335769631_Moving_Towards_Self-actualization_A_Trauma-Informed_and_Needs-Focused_Approach_to_the_Mental_Health_Needs_of_Survivors_of_Commercial_Child_Sexual_Exploitation,DMW2M7ER
The Public Health Impact of Coronavirus Disease on Human Trafficking,"Jordan Greenbaum, Hanni Stoklosa and Laura Murphy",,"Healthcare, Social Work",,https://www.frontiersin.org/articles/10.3389/fpubh.2020.561184/full,J5DEN888
"Exploitation, Labor and Sex Trafficking of Children and Adolescents: Health Care Needs of Patients","Jordan Greenbaum, Dana Kaplan, Janine Young",,"Mental Health, Social Work",,https://publications.aap.org/pediatrics/article/151/1/e2022060416/190310/Exploitation-Labor-and-Sex-Trafficking-of-Children?autologincheck=redirected,577JBRB6
Labor trafficking of children and youth in the United States: A scoping review,"Jordan Greenbaum, Ginny Sprang, Frances Recknor, Nancy S. Harper, Kanani Titchen",,Public Policy,,https://www.sciencedirect.com/science/article/pii/S0145213422002149,ME3T4W5S
How platforms facilitate collaboration across organizational boundaries: fighting human trafficking in Sweden,Josefina Erikson & Oscar L. Larsson,,"Lived Experience, Public Policy, Social Work",,https://link.springer.com/article/10.1007/s11077-020-09371-6,QC6TWKDD
Trafficking Healthcare Resources and Intra-disciplinary Victim Services and Education (THRIVE) Clinic: A Multidisciplinary One-stop Shop Model of Healthcare for Survivors of Human Trafficking,"Joshua S. George, Sana Malik, Stephen Symes, Panagiota Caralis, D. Jeffrey Newport, Anastasia Godur, Grechen Mills, Ira Karmin, Blaine Menon & JoNell E. Potter",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2018.1530528,XR34E3J6
The Public Health Approach to Human Trafficking Prevention,Jordan Greenbaum,,"Healthcare, Social Work",,https://readingroom.law.gsu.edu/gsulr/vol36/iss4/7/,NUJRMSAB
Child Labor and Sex Trafficking,Jordan Greenbaum,,"Public Policy, Social Work",,https://publications.aap.org/pediatricsinreview/article-abstract/42/12/639/183472/Child-Labor-and-Sex-Trafficking?redirectedFrom=fulltext,3PS6Q9B6
Principles for Safe Implementation of ICD Codes for Human Trafficking,"Jordan Greenbaum, Ashley Garrett, Katherine Chon, Matthew Bishop, Jordan Luke and Hanni Stoklosa",,Healthcare,,https://www.cambridge.org/core/journals/journal-of-law-medicine-and-ethics/article/abs/principles-for-safe-implementation-of-icd-codes-for-human-trafficking/9765699BA1DA506A1B6A0B6830FB2CB0,FIUFX3WF
‘Stick Them to the Cross’: Anti-Trafficking Apps and the Production of Ignorance,Jonathan Mendel & Kiril Sharapov,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1801284,9C6MRW9A
A Call to the Engineering Community to Address Human Trafficking,"JONATHAN P. CAULKINS, MATT KAMMER-KERWICK, RENATA KONRAD, KAYSE LEE MAASS, LAUREN MARTIN, AND THOMAS SHARKEY",,"Public Policy, Social Work",,https://www.nae.edu/216534/A-Call-to-the-Engineering-Community-to-Address-Human-Trafficking,7IE44C5G
Physician Encounters with Human Trafficking: Legal Consequences and Ethical Considerations,Jonathan Todres,,"Healthcare, Public Policy",,https://journalofethics.ama-assn.org/article/physician-encounters-human-trafficking-legal-consequences-and-ethical-considerations/2017-01,ZSHH5GG6
A Public Health Approach to Global Child Sex Trafficking.,Jordan Greenbaum,,"Healthcare, Social Work",,https://www.ncbi.nlm.nih.gov/pubmed/32237991,M46G3X3K
On the Unreliability of Multiple Systems Estimation for Estimating the Number of Potential Victims of Modern Slavery in the UK,"John Whitehead, James Jackson, Alex Balch & Brian Francis",,"Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1660952,ISZTX4G3
Science Versus Slavery: The National Institute of Justice and the Future Directions of Knowledge Put to the Service of the Anti-Trafficking Movement,John T. Picarelli,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1013780,EKH8QKK6
Fighting Human Trafficking Through Transit Monitoring: A Data-Driven Model Developed in Nepal,Jonathan Hudlow,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1098521,PQ2FRZJH
"Forced Marriage, Slavery, and Plural Legal Systems: An African Example","Jody Sarich, Michele Olivier, Kevin Bales",,"Lived Experience, Public Policy, Social Work",,https://repository.up.ac.za/bitstream/handle/2263/53256/Sarich_Forced_2016.pdf?sequence=1&isAllowed=y,ZZ8KZNQ6
Violence predicts physical health consequences of human trafficking: Findings from a longitudinal study of labor trafficking in Ghana,"Jody Clay-Warner, Timothy G. Edgemon, David Okech, John K. Anarfi",,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0277953621003026?via%3Dihub,7IZUHPSM
"Case docket analysis: An effective crime information product for criminal investigators, crime analysts and crime researchers",Johan van Graan and Marcel van der Watt,,"Law Enforcement, Lived Experience, Public Policy",,https://www.researchgate.net/publication/268522768_Case_docket_analysis_An_effective_crime_information_product_for_criminal_investigators_crime_analysts_and_crime_researchers,RDT5AZAS
Adolescent girls exploited in the sex trade: infromativeness and evasiveness in investigative interviews,"Johanna Lindholm, Ann-Christin Cederborg, Charlotte Alm",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/15614263.2014.880839,UKXPCGK3
"Now you see her, now you don't: Sex workers",Jo Doezema,,Social Work,,http://faculty.smcm.edu/jwschroeder/Web/ETHR1002/Global_Jutice_Readings_files/24.NowYouSeeHer.pdf,EFZF679M
No youth left behind to human trafficking: Exploring profiles of risk,"Joan A Reid, Michael T Baglivio, Alex R Piquero, Mark A Greenwald, Nathan Epps",,Mental Health,,https://pubmed.ncbi.nlm.nih.gov/30431301/,AKXPCREG
"Human Trafficking and the Passage of the 2000 TVPA: A Comparative Analysis of Prosecution of Sex Trafficking, Child Pornography, and Sexual Abuse Cases","Jodi A. Quas, Samantha Luna, David B. Wilson & Allison Redlich",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2024.2331943,DIZ8JR4S
Domestic Minor Sex Trafficking: A Case Series of Male Pediatric Patients,"Jessica Moore, Meagan Fitzgerald, Timothy Owens, Brett Slingsby, Christine Barron, Amy Goldberg",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/0886260519900323,ZC62JG3K
Child Trafficking Victims in Pediatric Surgical Environments: Implications for Nursing Care and Advocacy,Jessica Peck,,"Healthcare, Social Work",,https://journals.lww.com/journalofpediatricsurgicalnursing/Abstract/2020/10000/Child_Trafficking_Victims_in_Pediatric_Surgical.2.aspx,9DPE4A89
News Reporting on Human Trafficking: Exploratory Qualitative Interviews with Illinois News Journalists,"Jessica Reichert, Jaclyn Houston-Kolnik, Amanda L. Vasquez & Emma Peterson",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1423443,2MRDEJQC
A Scoping Review of Labor and Organ Trafficking Resources for U.S. Healthcare Professionals,"JMV Talbott, KE Titchen, N Mishra & JM Kling",,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2022.2054616,42E2RIPS
Human trafficking policies of professional nursing organizations: Opportunity for innovative and influential policy voice,Jessica L. Peck & Megan L. Doiron,,"Mental Health, Public Policy, Social Work",,https://onlinelibrary.wiley.com/doi/10.1111/nuf.12752,FC8JZZPZ
Mandated Continuing Education Requirements for Health Care Professional State Licensure: The Texas Model,"Jessica L. Peck, Jordan Greenbaum & Hanni Stoklosa",,Public Policy,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1981708,GNZ4D633
White Paper: Recognizing Child Trafficking as a Critical Emerging Health Threat,"Jessica L. Peck, Mikki Meadows-Oliver, Stacia M. Hays, Dawn Garzon Maaks",,"Healthcare, Public Policy, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0891524519306698,FTHFJT7C
Interpersonal Violence and Contraceptive Method Use by Women Sex Workers,"Jessica L. Zemlak, Rebecca Hamilton White, Danielle Friedman Nestadt, Kamila A. Alexander, Ju Nyeong Park & Susan G. Sherman",,Social Work,,https://www.whijournal.com/article/S1049-3867(21)00081-5/fulltext,RQ48VZVC
Trafficking in the Erotic Labor Market: A National Survey,"Jessica Bishop-Royse, Danielle Bastian, Crysta Heart & Greg Scott",,"Law Enforcement, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1695094,FI7EZ9PG
Recruitment Patterns of Child Trafficking in Madagascar: An Analysis Based on Missing and Recovered Children,Jérôme Ballet & Augendra Bhukuth,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1111709,SSVWSQRM
Survivors’ conceptualizations of human trafficking prevention: An exploratory study,"Jessica Donohue-Dioh, Melanie Otis, Justin ""Jay"" Miller, Marie-Antoinette Sossou, Carlosdela Torres, Thomas Lawson",,"Lived Experience, Social Work",,sciencedirect.com/science/article/abs/pii/S0149718920301774,DZRGMZ7E
"Human Trafficking of Children: Nurse Practitioner Knowledge, Beliefs, and Experience Supporting the Development of a Practice Guideline: Part Two",Jessica L. Peck,,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S089152451930481X,SB39EPS5
Human Trafficking in the Emergency Department: Improving Our Response to a Vulnerable Population,"Jennifer Tiller, Stacey Reynolds",,"Public Policy, Social Work",,https://escholarship.org/uc/item/06z370g3,CKZRUPA3
Human trafficking in the heartland: Variation in law enforcement awareness and response,"Jeremy M. Wilson, Erin Dalton",,Public Policy,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.868.5001&rep=rep1&type=pdf,5TD5NUS5
Labor Exploitation of Migrant Farmworkers: Risks for Human Trafficking,Jeremy S. Norwood,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1690111,MMABC7I5
Commercial Sexual Exploitation Outcomes in a Community Sample of Youth,"Jennifer O'Brien, Todd Jensen, Kimberly Mitchell, Kevin White",,"Lived Experience, Social Work",,https://www.jahonline.org/article/S1054-139X(22)00618-8/fulltext,H6CUCQ89
Domestic minor sex trafficking among adjudicated male youth: prevalence and links to treatment,"Jennifer O'Brien, Wen Li, Ashley Givens, George Leibowitz",,"Mental Health, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0190740917303122?via%3Dihub,BBKI62ZP
Between Us and Them: Building Connectedness Within Civic Networks,"Jennifer Stoll, W. Keith Edwards, Kirsten A. Foot",,Social Work,,https://www.researchgate.net/publication/220878966_Between_Us_and_Them_Building_Connectedness_Within_Civic_Networks,356NWCV8
Review of Published Curriculum on Sex Trafficking for Undergraduate Medical Trainees,"Jennifer Talbott, Jordan Dutcher, Charlotte Pougnier, Samantha Calvin, Dominique Roe-Sepowitz, Juliana Kling",,"Healthcare, Mental Health, Social Work",,https://www.sciencedirect.com/science/article/pii/S0749379719305379,2UW94XUS
Rigor and Respect: Recruitment Strategies for Engaging Vulnerable Populations in Research,"Jennifer O’Brien, Kathryne Brewer, Lisa Jones, Jena Corkhum, Cynthia Fraga Rizo",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/10.1177/08862605211023497,SQ4Q9RB7
Domestic Minor Sex Trafficking Among Child Welfare–Involved Youth: An Exploratory Study of Correlates,"Jennifer O’Brien, Kevin White, and Cynthia Fraga Rizo",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/10.1177/1077559517709995,XX7XWK7H
Culturally specific interventions for female survivors of gender-based violence,"Jennifer O'Brien, Rebecca Macy",,Social Work,,https://www.sciencedirect.com/science/article/abs/pii/S1359178916300957?via%3Dihub,Q5VWK8VP
Online Requests to Run Away: Prevalence from a Nationally Representative Sample of Youth,"Jennifer O'Brien, Ateret Gewirtz-Meydan, Kimberly Mitchell",,Needs Review,,https://www.researchgate.net/publication/335669674_Online_Requests_to_Run_Away_Prevalence_from_a_Nationally_Representative_Sample_of_Youth,BE584RI9
"The role of the internet in the grooming, exploitation, and exit of United States domestic minor sex trafficking victims",Jennifer O’Brien & Wen Li,,"Lived Experience, Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/17482798.2019.1688668,87RCZDCT
“It’s All about Breaking down Those Barriers…”: Exploring Survivors’ Perspectives on Services and Treatment Needs following Commercial Sexual Exploitation during Childhood,"Jennifer O’Brien, Brooke Jordan, Nina Honeycutt, Catherine Wilsnack & Clara Davison",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23761407.2019.1572560,A6Q9DCS3
Improving services for youth survivors of commercial sexual exploitation: Insights from interventions with other high-risk youth,"Jennifer O'Brien, David Finkelhor, Lisa Jones",,"Lived Experience, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0190740921003893?via%3Dihub,6QM8C4WQ
A five-year analysis of child trafficking in the United States: exploring case characteristics and outcomes to inform child welfare system response,"Jennifer Middleton, Emily Edwards",,"Public Policy, Social Work",,https://louisville.edu/kent/research-special-programs-projects/current-projects/AfiveyearanalysisofchildtraffickingintheUnitedStatesexploringcasecharacteristicsandoutcomestoinformchildwelfaresystemresponseMiddletonandEdwards2020.pdf,6CP4ADB9
Adverse Childhood Experiences (ACEs) and Homelessness: A Critical Examination of the Association between Specific ACEs and Sex Trafficking among Homeless Youth in Kentuckiana,"Jennifer Middleton, Emily Edwards, Dominique Roe-Sepowitz, Eleanor Inman, Laura M. Frey & Maurice N. Gattis",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2020061,UEJPRFG8
The Limits and Possibilities of Data-Driven Antitrafficking Efforts,Jennifer Musto,,Social Work,,https://readingroom.law.gsu.edu/gsulr/vol36/iss4/11/,4CHZ565G
"“Sometimes, Somebody Just Needs Somebody – Anybody – to Care:” The power of interpersonal relationships in the lives of domestic minor sex trafficking survivors",Jennifer O’Brien,,"Lived Experience, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0145213418301613?via%3Dihub,HMUHFNU7
Detecting child trafficking within the child welfare system: recommendations and best practices for screening and identification protocols in the United States,"Jennifer Middleton, Emily Edwards",,"Public Policy, Social Work",,https://medcraveonline.com/FRCIJ/detecting-child-trafficking-within-the-child-welfare-system-recommendations-and-best-practices-for-screening-and-identification-protocols-in-the-united-states.html,VJ5HCFS5
Human trafficking beyond borders: Challenges for public security in the transnational world,Jennifer Middleton,,Public Policy,,https://www.researchgate.net/publication/325183730_Human_trafficking_beyond_borders_Challenges_for_public_security_in_the_transnational_world,ATUI8BUQ
Creating Sanctuary: Trauma-Informed Change for Survivors of Sex Trafficking and Commercial Sexual Exploitation,Jennifer Middleton and Amber McDonald,,"Lived Experience, Social Work",,https://link.springer.com/content/pdf/10.1007/978-3-319-63058-8_35.pdf,Z7DN5PDJ
Youth Experiences Survey (YES): Exploring the Scope and Complexity of Sex Trafficking in a Sample of Youth Experiencing Homelessness.,"Jennifer Middleton, Dominique Roe-Sepowitz",,"Mental Health, Public Policy",,http://web.b.ebscohost.com/ehost/detail/detail?vid=0&sid=63cd7b18-c4e3-4850-ad97-d78f6d3622bb%40pdc-v-sessmgr05&bdata=JkF1dGhUeXBlPXNoaWImc2l0ZT1laG9zdC1saXZl#AN=129234016&db=a9h,94QRUSH2
“What Does It Matter How We Define It?”: Exploring Definitions of DMST Among Service Providers and Victims/Survivors,Jennifer E. O’Brien,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1410415,6V7BHEVX
"Medical First Responders and Child Sexual Exploitation: Needs, Efforts, and Next Steps","Jennifer E. O’Brien, Ryan Della Penna, Kwynn Gonzalez-Pons & Kimberly Mitchell",,"Law Enforcement, Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2061280,Z9WQKPMQ
"Human trafficking, Immigration regulation and Subfederal Criminalization",Jennifer M. Chacon,,Law Enforcement,,https://nclr.ucpress.edu/content/20/1/96,PK867CWD
Applying a survival sex hierarchy to the commercial sexual exploitation of children: a trauma-informed perspective.,Jennifer Middleton,,Social Work,,http://web.b.ebscohost.com/ehost/detail/detail?vid=0&sid=d4ccfe9c-2127-46ae-b4ae-35c6e6505d91%40pdc-v-sessmgr06&bdata=JkF1dGhUeXBlPXNoaWImc2l0ZT1laG9zdC1saXZl#AN=136782195&db=a9h,AA7JMGGS
From the Street Corner to the Digital World: How the Digital Age Impacts Sex Trafficking Detection and Data Collection,Jennifer Middleton,,"Public Policy, Social Work",,https://link.springer.com/referenceworkentry/10.1007/978-3-319-63192-9_23-1,4FCUIC2H
Accurate Identification and Prosocial Behaviors Towards Human Trafficking Victims Among Psychology Students,"Jeeva Babu,Grace M Boland & Temilola Salami",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2022.2040075,ZIAQ5FVH
Human Trafficking and the Healthcare Professional,"Jeffrey Barrows, Reginald Finger",,"GAHTS_Category: Not Specified, Geographic_Focus: Global, Healthcare, Methods_Used: Not Specified, Open_Access: Unknown, Target_Audience: Researchers",,https://pubmed.ncbi.nlm.nih.gov/18414161/,CDV65FKS
Researching the Effectiveness of an Online Human Trafficking Awareness Program Among Community Health Nursing Students,Jenni L. Hoffman & Grigoris Argeros,,"Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/07370016.2022.2058202,8UEPE8CD
"Migrant Worker Safety, Occupational Health Equity, and Labor Trafficking",Jaya Prakash; Inkyu Kim; Timothy B. Erickson; Hanni Stoklosa,,"Healthcare, Public Policy, Social Work",,https://harvardpublichealthreview.org/migrant-worker-safety/,4MH6V79C
"Perspectives from the ground: Bureaucractic violence, identity, and transitional justice in Canada",Jaymelee J. Kim,,Mental Health,,https://www.berghahnjournals.com/downloadpdf/journals/conflict-and-society/4/1/arcs040110.xml,NX33ZE36
"Human Trafficking Victim Identification, Assessment, and Intervention Strategies in South Texas Emergency Departments","Jean Dowling Dols, Diana Beckmann-Mendez, Jessica McDow, Katherine Walker, Michael D. Moon",,"Law Enforcement, Social Work",,https://www.jenonline.org/article/S0099-1767(19)30216-8/fulltext,S99ARSN8
“Praying for freedom”: a story of labor trafficking during pregnancy,"Jaya Prakash, Bukola Oriola, Traci Kurtzer, Hanni Stoklosa",,Social Work,,https://www.ajogmfm.org/article/S2589-9333(23)00015-0/fulltext,56HMEUK6
Maternal Health Concerns for Pregnant Labor-Trafficked People: A Scoping Review,"Jaya Prakash, Tahireh Markert, Paul Bain & Hanni Stoklosa",,"Public Policy, Social Work",,https://link.springer.com/article/10.1007/s10903-023-01466-5,JPB3Q9PV
Labor trafficking in marijuana production: a hidden epidemic in the shadows of the cannabis industry,"Jaya Prakash, Timothy B. Erickson, Marti MacGibbon, Hanni Stoklosa",,"Lived Experience, Mental Health, Social Work",,https://www.frontiersin.org/articles/10.3389/fsoc.2023.1244579/full,QM3WAG3I
Human trafficking and the growing malady of disinformation,"Jaya Prakash, Timothy Erickson & Hanni Stoklosa",,"Mental Health, Social Work",,https://www.frontiersin.org/articles/10.3389/fpubh.2022.987159/full,WTP9FPQH
The Modern Slavery Act (2015): A Legislative Commentary,Jason Haynes,,Public Policy,,https://academic.oup.com/slr/article/37/1/33/2362898,7FHKU5UE
The confluence of national and international law in response to multinational corporations’ commission of modern Slavery: Nevsun Resources Ltd. V. Araya,Jason Haynes,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1832785,GUVFR4UZ
"Consent, Coercion, and Fraud in Human Trafficking Relationships","Jay S. Albanese, Rose Broad & David Gadd",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2019529,RKV4PN8E
Recognizing Human Trafficking in Radiology,"Jaya Prakash, Annie Lewis O'Connor, Hanni Stoklosa & Bharti Khurana",,Healthcare,,https://www.sciencedirect.com/science/article/pii/S1546084322001183?via%3Dihub,HB96N6AG
"""Going It Alone"": Following the Male Cohort of Survivors of Sex Trafficking of the Chab Dai Butterfly Longitudinal Research Project","Jarrett Davis, James Havey, Glenn M. Miles, Nhanh Channtha, Sreang Phally, Lim Vanntheary",,"Lived Experience, Social Work",,https://digitalcommons.uri.edu/dignity/vol6/iss4/3/,FP6BUZ3X
Why Men (Don’t) Buy Sex: Purity Moralization and Perceived Harm as Constraints on Prostitution Offending,"Jasmine R. Silver, Justin T. Pickett, J. C. Barnes, Stephanie R. Bontrager, Dominique E. Roe-Sepowitz",,Mental Health,,https://journals.sagepub.com/doi/full/10.1177/10790632211002859,WQX99WQS
Northern Ireland’s Human Trafficking and Exploitation Act (2015): a preliminary assessment,Jason Haynes,,Public Policy,,https://www.tandfonline.com/doi/abs/10.1080/03050718.2016.1171725,MXTNDV7C
On My Own': the Exploitation of Street-involved Children on the Rapidly Changing Thai-Cambodian Border,"Jarrett Davis, Glenn Miles",,"Lived Experience, Social Work",,https://www.ingentaconnect.com/contentone/plp/jhec/2021/00000002/00000002/art00002,WPZJ84CR
"""There is Always Violence"": An Exploratory Study of Phnom Penh, Cambodia, Street-Involved Children","Jarrett D. Davis, Glenn M. Miles, Sean Blackburn, Erika Mosebach-Kornelsen",,Needs Review,,https://digitalcommons.uri.edu/dignity/vol6/iss1/6/,7S2C6ZG8
"""No Other Choice"": A Baseline Study on the Vulnerabilities of Males in the Sex Trade in Chiang Mai, Thailand","Jarrett D. Davis, Elliot Glotfelty, Glenn Miles",,Lived Experience,,https://pdfs.semanticscholar.org/078d/b0cc46ada95295961a9bdd1c0c7294e95af9.pdf,VP5ARDZR
“Boys Are Like Gold”: The Gendered Differences in Sexual Violence Against Street-Involved Children in Southwest Cambodia,"Jarrett Davis, Glenn Miles, Maggie Eno, Andrew G. Rowland",,"Lived Experience, Social Work",,http://usir.salford.ac.uk/id/eprint/59256/8/The-Gendered-Differences-in-Sexual-Violence-Against-Street-Involved-Children-in-Southwest-Cambodia.pdf,NW7BVXF6
“Strive harder and don't lose hope”: sexual exploitation of male youth in the sex trade in Manila,"Jarrett D. Davis, Glenn Michael Miles",,"Lived Experience, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJSSP-05-2020-0189/full/html,D7TXVZ88
"""They Shamed Me"": An Exploratory Study on the Vulnerabilities of Street-Involved Boys to Sexual Exploitation in Manila, Philippines","Jarrett D. Davis, Glenn Michael Miles",,Social Work,,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1149&context=dignity,H6F8EFJR
"""They Chase Us Like Dogs"": Exploring the Vulnerabilities of ""Ladyboys"" in the Cambodian Sex Trade","Jarrett D. Davis, Glenn Michael Miles",,"Lived Experience, Mental Health, Social Work",,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1088&context=dignity,ZJB6AFMR
"“Same same, but different”: A baseline study on the vulnerabilities of transgender sex workers in the sex industry in Bangkok, Thailand","Jarrett D. Davis, Glenn Michael Miles, John H. Quinley III",,"Lived Experience, Public Policy, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJSSP-01-2019-0022/full/html,SQBRZTUB
Recommendations to Improve Services and Supports for Domestically Sex Trafficked Persons Derived from the Insights of Health Care Providers,"Janice Du Mont, Frances Montemurro, Rhonelle Bruder, C Emma Kelly, Frances Recknor & Robin Mason",,"Public Policy, Social Work",,https://www.dovepress.com/recommendations-to-improve-services-and-supports-for-domestically-sex--peer-reviewed-fulltext-article-JMDH,6JGBJI7B
Giving as governance: Philanthrocapitalism and modern-day slavery abolitionism,Janie A. Chaung,,"Mental Health, Public Policy, Social Work",,https://pdfs.semanticscholar.org/70c6/1b82b9432784484ec7ce5bccaca0dcf29a43.pdf,4HN5KS4I
Preventing Trafficking Through New Global Governance over Labor Migration,Janie A. Chuang,,Social Work,,https://readingroom.law.gsu.edu/gsulr/vol36/iss4/6/,JJQ475TR
How the Jezebel Stereotype has been Weaponized Against Black Girls and Made Them Vulnerable to Sex Trafficking: An Examination of Carceral Public Systems,Jacquelyn Meshelemiah,,"Mental Health, Social Work",,https://link.springer.com/article/10.1007/s12111-022-09596-0,VZF9QA78
Use of Drug Dependency to Entrap and Control Victims of Sex Trafficking: A Call to a U.S. Federal Human Rights Response,"Jacquelyn Meshelemiah, Carra Gilson, Amila Prasanga",,"Lived Experience, Public Policy, Social Work",,https://www.researchgate.net/publication/329213794_Use_of_Drug_Dependency_to_Entrap_and_Control_Victims_of_Sex_Trafficking_A_Call_to_a_US_Federal_Human_Rights_Response,E3FEEVCG
